id,name,is_gdt
0,Diameter,FALSE
1,Radius,FALSE
2,Form,FALSE
3,Position,TRUE
4,Distance,FALSE
5,Angle,FALSE
6,Concentricity,TRUE
7,Coaxiality,TRUE
8,Circularity,TRUE
9,Cylindricity,TRUE
10,Straightness,TRUE
11,Flatness,TRUE
12,Perpendicularity,TRUE
13,Parallelism,TRUE
14,Total Runout,TRUE
15,Circular Runout,TRUE
16,Profile Surface,TRUE
17,Profile Line,TRUE
18,Angularity,TRUE
19,Symmetry,TRUE
20,Size,TRUE
