id,py,px,ny,nx,revision,developer_notes,operator_notes
1002236,27.17533175000001,54.71159999999999,24.67467211869488,3.911600000000008,E,,
1002242,50.84045157720367,63.499999999999986,-4.722000000000004,12.700000000000003,C,,
1002486,7.9375000000000435,44.716699999999996,-1.0677999999999892,-6.083300000000006,B,,
1002487,-29.451299999999996,21.3487,72.14869999999999,21.3487,C,,
1003335,17.525999999999986,15.874999999999993,68.39599999999999,15.874999999999993,D,,
1003336,86.2715,51.49849999999999,-2.1975000000000113,0.6984999999999977,F,,
1003340,19.273,25.146,43.465,25.146000000000008,C,,
1003609,15.875,50.80000000000001,15.875,0.3125000000000002,B,,
1004628,3.8099999999999867,21.589999999999986,54.60999999999999,21.590000000000003,A,,
1005070,26.631179919798896,103.46363862730948,27.787741737183016,1.8636399631583307,A,,
1005301,28.436594713741403,95.96049020674043,33.141148910867265,-5.639509793259307,A,,
1005611,122.52599999999997,42.8625,29.87400000000002,-7.937500000000007,A,,
1005669,18.2749999999999,47.625,22.999999999999922,-3.1750000000000007,A,,
1005724,3.5970000000000035,32.940000000000005,48.346,22.940000000000012,A,,
1005979,70.90284696140198,22.860000000000003,100.46532286863486,22.860000000000003,B,,
1005980,70.90284696140198,22.860000000000003,100.46532286863486,22.860000000000017,B,,
1005985,82.54999999999998,16.509999999999994,132.5261550634065,16.50999999999997,B,,
1005986,82.54999999999998,16.509999999999994,132.52615506340643,16.509999999999973,B,,
1006058,63.21735650400857,178.59627396429136,152.08249999999995,26.202322521547885,A,,
1006059,152.08249999999998,178.5962739560914,63.21735650400861,26.202322521547842,A,,
1006086,19.068550000000002,40.46855000000001,11.06855,-10.331449999999998,A,,
1006239,91.27500000000003,112.0867947758134,73.80324386422896,10.4867947758134,A,,
1006240,91.06506317229626,111.84189241024936,73.803243864229,10.24185243743351,A,,
23-2168,42.464499999999994,44.449999999999996,-1.0625000000000009,-6.349999999999998,D,,
7001121,11.075000000000001,21.500000000000007,41.425000000000004,21.500000000000004,D,,
7002007,29.124999999999922,49.8,-2.1249999999999223,-0.999999999999994,G,,
7002044,31.3125,47.4,-1.9375000000000002,-3.3999999999999964,G,,
7002322,14.849912960543794,38.0111,-2.087500000000006,-12.788899999999996,P,,
7002434,0.8804999999999942,39.27950805144044,7.880500000000006,-11.429999999999994,H,,
7002481,1.1000000000000036,24.899999999999935,78.6,24.900000000000055,L,,
7002630,1.0141564897035646,44.39999999999999,11.110843510296432,-6.400000000000002,J,,
7002723,3.600000000000013,24.89999999999984,78.79999999999984,24.900000000000162,H,,
7003310,3.747500000000003,42.75000000000001,10.372499999999985,-8.049999999999995,L,,
7003325,12.78149999999999,39.370000000000005,-3.826649999999993,-11.429999999999996,H,,
7003378,1.0141564897035646,44.39999999999999,11.110843510296435,-6.400000000000002,M,,
7003448,10.880499999999998,39.37000000000002,-2.1949822601838673,-11.430000000000014,H,,
7004101,3.9761999999999906,48.25,11.023800000000008,-2.5499999999999967,F,,
7004139,29.30999999999999,54.099999999999994,13.552500000000002,3.299999999999997,J,,
7004145,15.312,54.102000000000004,27.25839999999999,3.301999999999999,H,,
7004252,53.00750000000001,47.27499999999999,4.992499999999995,-3.5250000000000035,D,,
7004578,14.770900000000024,24.498299999999997,38.15,24.4983,D,,
7004579,-8.95,24.490000000000006,61.99999999999999,24.48999999999999,C,,
7004599,11.934999999999999,25.499999999999996,38.15,25.49999999999996,F,,
7004768,32.33249999999998,47.400000000000006,-1.9374999999999747,-3.6015328928078185,C,,
7004772,10.310000000000002,37.851289867544835,-2.690000000000005,-12.792075,B,,
7004819,-16.799999999999972,22.846749999999997,31.79999999999997,22.846749999999997,D,,
7004820,-16.799999999999972,22.898471564713663,31.799999999999976,22.84675,B,,
7004830,13.000174078912385,40.17962500000002,8.082000000000045,-10.620375000000024,B,,
7004842,25.5625,44.775,-2.437500000000002,-6.024999999999996,A,,
7004844,40.687500000000014,51.39999999999999,-2.9375000000000098,0.5999999999999998,B,,
7004860,11.130500000000001,39.37,-1.869499999999996,-11.182197778840784,B,,
7004909,1.1000000000000036,24.899999999999935,78.6,24.900000000000055,D,,
7004935,26.25,53.65750000000001,-8.025157683320417,2.857500000000003,A,,
7005018,21.3444,48.1965,6.925800000000005,-2.6035000000000124,A,,
7005025,23.1125,52.04999999999998,-0.9499999999999982,1.2500000000000009,B,,
7005067,69.56180581404139,40.39999999999997,6.838194185958588,-10.4,B,,
7005068,34,15.000000000000016,68.11249999999998,15.000000000000016,B,,
7005074,15.162499999999996,21.5,62.737500000000004,21.5,A,,
7005075,29.96250000000003,21.499999999999943,73.64999999999999,21.5,A,,
7005118,42.94950131544602,50.901599999999995,-8.381098684554011,0.10159999999998982,A,,
7005128,-16.912499999999934,22.846750000000004,32.399999999999984,22.846749999999997,A,,
7005132,35,50.54875742457269,7.800000000000001,-0.5000000000000004,A,,
7005133,-23.899999999999988,24.89999999999999,78.6,24.900000000000006,A,,
7005136,38.5625,47.52358752553481,3.367499999999598,-3.2764124744651855,A,,
7005137,32.653749999999995,47.27500000000001,2.0769230769230718,-3.52500000000001,A,,
7005138,3.600000000000013,24.89999999999984,78.79999999999984,24.900000000000162,D,,
7005139,64.8375,50.3,-9.937500000000005,-0.5000000000000004,C,,
7005168,73.73319999999995,50.30470000000001,5.959300000000021,-0.4953000000000075,F,,
7005174,1.0141564897035646,44.39999999999999,11.110843510296435,-6.166340675784021,B,,
7005192,8.243399999999989,40.89399999999999,-5.831599999999988,-9.905999999999999,C,,
7005446,16.858462999999993,42.86249999999997,-3.1415372422822183,-7.937499999999989,E,,
7005475,55.59629999999998,51.90489999999999,9.897600000000011,1.1049000000000093,C,,
7005502,5.293999999999928,41.90999999999996,10.079667941960643,-8.050000000000004,B,,
7005559,5.464999999999972,48.171099999999996,9.897591989840402,-2.6289000000000065,B,,
7005604,23.02030000000016,50.3987745999061,-2.9797000000000047,-0.4012254000938901,C,,
7005640,3.7500000000000107,33.24222078147874,52.819006121069144,33.24222078147874,D,,
7005681,11.900000000000004,49.63159999999999,13.499999999999991,-1.1684,B,,
7005685,6.811699999999884,42.716450000000016,9.11250000000012,-8.083549999999985,B,,
7005691,50.322499999999984,54.610000000000014,-2.0624999999999982,3.81000000000001,B,,
7005692,10.141599999999992,48.46320000000001,3.7014000000000054,-2.336800000000007,A,,
7005737,14.5415,13.779499999999995,116.204,13.779499999999995,A,,
7005740,38.371799999999986,46.98999999999999,-9.899999999999999,-3.8100000000000005,C,,
7005743,10.472499999999998,35.44569999999998,-2.540000000000001,-15.107335695263336,B,,
7005753,17.312500000000007,46.355000000000004,1.6064999999999883,-4.445000000000011,A,,
7005841,56.83749999999995,50.5487574245727,8.86250000000003,-0.5000000000000109,A,,
7005881,16.808199999999996,42.6085,-2.816799999999998,-8.191500000000001,C,,
7005902,21.501099999999997,46.8314593310478,21.501100000000008,-3.9685406689521847,B,,
7005903,31.86175,46.355,1.000000000000007,-4.1964737602444915,A,,
7005911,31.947500000000005,47.64859546128699,-1.30249999999998,-3.399999999999997,C,,
7005913,34.324999999999996,47.400000000000006,-4.924999999999994,-3.4000000000000066,B,,
7006000,3.37500000000002,33.2422207814788,52.819006121069144,33.24222078147868,C,,
7006083,16.6875,42.75,-1.2513320580394232,-8.050000000000006,A,,
7006102,56.50572499999998,51.41595,3.9843750000000147,0.6159499999999933,A,,
7006112,54.90259999999998,46.4566,2.4887000000000166,-4.343399999999999,A,,
7006153,10.84839999999999,54.60999999999999,29.436,3.8099999999999903,A,,
7006157,21.524999999999974,52.578,-2.4122948447874597,1.7779999999999982,A,,
7006158,53.99284032052026,53.467000000000056,2.1411596794797467,2.6669999999999474,B,,
7006188,-20.500412582256534,53.50251691165863,76.70544640557381,2.7025169116586394,B,,
7006189,-20.662929493915165,53.339999999999996,76.54292949391517,2.5400000000000076,B,,
7006190,-20.66292949391517,53.339999999999996,76.54292949391517,2.540000000000004,B,,
7006191,-20.027929493915167,53.974999999999994,77.17792949391516,3.1750000000000114,B,,
7006192,-20.027929493915167,53.974999999999994,77.17792949391516,3.1750000000000114,B,,
7006263,28.999999999999993,49.8,-0.9374999999999961,-0.9999999999999868,B,,
7006266,26.99999999999999,44.775000000000006,-0.9374999999999966,-6.025000000000009,C,,
7006305,95.42954244111438,85.725,25.220457558885613,34.925,A,,
7006306,66.03239434516367,85.72500000000001,-6.100000000000043,34.92500000000001,A,,
7006335,14.971822900344268,42.7228,-0.9270999999999953,-7.828978406478472,A,,
7006336,14.759699999999748,48.171099999999996,0.7596999999997488,-2.6288999999999962,B,,
7006337,7.6830193427151325,38.00475,-0.18992263503141887,-12.79525,B,,
7006344,14.759700000000002,48.17109999999999,0.7850999999999935,-2.6289000000000033,C,,
7006345,16.6919,42.72104689407805,-1.3789304580393689,-8.077199999999992,A,,
7006346,5.464999999999971,48.171099999999996,9.918029408921809,-2.6289000000000033,A,,
7006347,27.560544230769256,12.560544230769219,88.40474999999999,12.337070692090977,B1,,
7006355,64.4314,51.9049,1.0624999999999993,1.104899999999992,A,,
7006356,55.51219999999998,46.7995,2.4887000000000215,-4.000500000000004,B,,
7006378,22.937500000000004,48.1711,-7.418100000000006,-2.628899999999993,B,,
7006402,33.006,40.3098,26.430000000000003,-10.490199999999993,A,,
7006403,30.961999999999993,50.54600000000001,8.000000000000002,-0.25399999999999723,A,,
7006407,7.345050000000009,35.47744999999999,2.445049999999994,-15.322549999999996,A,,
7006408,5.925999999999993,38.54469915973733,3.9260000000000197,-12.445999999999996,B,,
7006415,7.350000000000008,38.00475,5.449999999999996,-12.795249999999994,A,,
7006439,21.65000000000001,24.899999999999995,66.69999999999999,24.9,A,,
7006440,21.650000000000002,24.899999999999988,66.69999999999999,24.899999999999995,A,,
7006452,14.759699999999748,48.171099999999996,0.7596999999997488,-2.6288999999999962,A,,
7006453,38.83522966437267,51.434999999999995,3.9284296643726764,0.6350000000000036,A,,
8001015,51.54469999999985,44.70400000000011,104.94469999999994,44.70399999999996,A,,
8001060,66.75999999999998,50.03799999999994,128.82000000000002,50.03799999999998,D,,
8001074,12.7,80.61503403385709,12.7,29.5656,B,,
8001075,12.38149999999999,82.55000000000001,12.631499999999985,31.749999999999986,B,,
8001076,31.199999999999992,81.9912,-5.799999999999912,31.191200000000016,B,,
8001078,26.76499999999996,98.71672881721678,-1.3649999999999824,47.9167288172168,B,,
8001128,54.62499999999999,87.44828170535912,-10.174999999999997,36.648281705359366,B,,
8001142,54.62499999999999,87.44828170535911,-10.174999999999999,36.648281705359366,B,,
M9BD10MB,19.137400000000028,44.55062129900915,-4.862600000000026,-6.249378700990849,K,,
T31-28-2900QA1,86.86799999999995,44.70399999999998,79.248,44.70399999999999,B,,
