name,drawing,revision,fixture,py,px,ny,nx,developer_notes,operator_notes,requires_attn,requires_proof,start_year,start_month,start_day,finish_year,finish_month,finish_day
1002236 - E,1002236,E,T11948,540,0,270,0,,,0,1,2022,8,31,2022,11,2
1002242 - C,1002242,C,T11949,540,0,270,0,,,0,1,2022,9,7,2022,11,2
1002486 - B,1002486,B,T11748,576,0,288,0,,,0,0,2021,10,14,2021,10,21
1002487 - C,1002487,C,T11986,0,0,0,0,,,0,1,2022,10,24,2022,10,24
1003335 - D,1003335,D,T11913,74.5399,0,74.5399,288,,,0,1,2022,6,29,2022,6,29
1003336 - F,1003336,F,T11797,576,0,288,0,,,0,1,2022,1,20,2022,1,24
1003340 - C,1003340,C,T11774,270,273.5,273.5,270,,,0,1,2021,11,15,2021,11,16
1003609 - B,1003609,B,T11837,270,0,270,0,,,0,1,2022,3,22,2022,3,29
1004628 - A,1004628,A,T11966,288,432,288,288,,,0,1,2022,10,5,2022,10,6
1005070 - A,1005070,A,T11794,409.2092,270,296.2963,135,,,0,0,2022,1,11,2022,1,14
1005301 - A,1005301,A,T11778,190.9188,386.7874,270,193.3937,,,0,0,2021,11,22,2021,11,24
1005611 - A,1005611,A,T11820,0,273.5,136.75,424.75,,,0,1,2022,2,21,2022,2,22
1005669 - A,1005669,A,T11773,233.8269,270,270,270,,,0,1,2021,11,12,2021,11,15
1005724 - A,1005724,A,T11772,273.5,0,273.5,288,,,0,1,2021,11,11,2021,11,12
1005979 - B,1005979,B,T11736,0,0,270,268.9726,,,0,0,2021,9,8,2021,9,22
1005980 - A,1005980,A,T11736,0,0,270,268.9726,,,0,0,2021,9,8,2021,9,22
1005985 - B,1005985,B,T11735,0,0,270,268.9726,,,0,0,2021,9,8,2021,9,22
1005986 - A,1005986,A,T11735,0,0,270,268.9726,,,0,0,2021,9,8,2021,9,22
1005992 - A,1005992,A,T11595,270,46.885,270,270,,,1,0,2021,9,23,2021,9,29
1005993 - A,1005993,A,T11595,135,46.885,270,270,,,1,0,2021,9,23,2021,9,29
1005994 - A,1005994,A,T11595,270,190.9188,270,49.4134,,,1,0,2021,9,23,2021,9,29
1005995 - A,1005995,A,T11595,135,190.9188,270,46.885,,,1,0,2021,9,23,2021,9,29
1006058 - A,1006058,A,T11798,0,288,0,144,,,0,0,2022,1,24,2022,1,25
1006059 - A,1006059,A,T11798,0,288,0,144,,,0,0,2022,1,25,2022,1,25
1006086 - A,1006086,A,T11958,0,0,0,0,,,0,1,2022,9,28,2022,9,28
1006239 - A,1006239,A,T11899,135,540,270,540,,,0,1,2022,6,10,2022,9,20
1006240 - A,1006240,A,T11899,135,540,270,540,,,0,1,2022,6,13,2022,9,20
23-2168 - D,23-2168,D,T11802,0,273.5,273.5,273.5,,,0,1,2022,1,28,2022,1,28
7001121 - D,7001121,D,T11775,0,141.574,273.5,270,,,0,1,2021,11,16,2021,11,16
7002007 - G,7002007,G,T11789,424.75,0,576,0,,,0,1,2021,12,17,2021,12,20
7002044 - G,7002044,G,T11834,344.287,273.5,473.7158,273.5,,,0,1,2022,3,17,2022,3,17
7002322 - P,7002322,P,T11759,193.3937,0,273.5,0,,,0,1,2021,11,1,2021,11,1
7002434 - H,7002434,H,T11776,547,0,273.5,0,,,0,0,2021,11,16,2021,11,18
7002481 - L,7002481,L,T11711,0,141.574,288,270,,,0,1,2022,8,19,2022,8,19
7002630 - J,7002630,J,T11761,405,0,547,0,,,0,1,2021,11,1,2021,11,3
7002723 - H,7002723,H,T11711,0,141.574,288,270,,,0,1,2022,8,19,2022,8,19
