id,py,px,ny,nx
T11502,12.700000000001488,393.7000000000039,1104.9000000000003,12.700000000000017
T11511,0,0,0,0
T11711,14.173074361627291,22.5,75.8,22.5
T11716,83.77595481951171,207.51800000000003,12.699999999999989,97.28200000000001
T11717,83.77595481951172,207.51800000000003,12.699999999999989,97.28200000000001
T11718,0,0,0,0
T11722,0,0,0,0
T11725,7.999999999999993,15,62,15
T11729,0,0,0,0
T11730,12.700000000000003,22.224999999999998,63.5,22.224999999999998
T11735,66.79943165820626,19.05000000000002,79.37499999999999,19.05
T11736,35.799249804453595,15.875000000000014,73.96050708191761,15.875
T11748,10.999999999999996,57.675000000000004,8,6.874999999999999
T11749,0,0,0,0
T11752,38.09999999999998,38.10000000000001,63.5,38.099999999999994
T11753,12.100000000000007,25,62.90000000000001,24.999999999999993
T11754,12.100000000000007,25,62.90000000000001,24.999999999999993
T11755,9.600000000000012,25.000000000000004,60.400000000000006,24.999999999999996
T11759,32,58.3,20,7.5
T11761,11,61.800000000000004,11,11.000000000000004
T11762,0,0,0,0
T11766,9.999999999999996,60.79999999999999,9.999999999999993,9.999999999999995
T11768,9.52499999999999,60.32499999999999,9.524999999999997,9.524999999999999
T11772,8,27.500000000000004,58.8,27.5
T11773,24.999999999999993,63.80000000000001,25.000000000000174,12.999999999999991
T11774,8,15.000000000000002,58.8,15.000000000000002
T11775,8,15.000000000000007,58.8,15.000000000000007
T11776,9.499999999999998,60.3,9.500000000000004,9.500000000000002
T11777,17.499999999999996,57.175000000000004,17.499999999999996,6.375000000000002
T11778,22.50000000000001,109.89999999999998,31.5,8.299999999999988
T11779,16.000000000000004,57.675000000000004,8,6.874999999999999
T11780,19.999999999999975,57.17500000000001,10.000000000000027,6.375000000000027
T11781,9.600000000000012,25.000000000000004,60.400000000000006,24.999999999999996
T11782,12.000000000000002,58.175000000000004,12.000000000000004,7.375000000000006
T11784,32.31,57.675,9.000000000000002,6.874999999999999
T11789,29.999999999999996,58.175,10.000000000000005,7.375
T11791,40.75,57.675,9.000000000000004,6.874999999999999
T11792,38.999999999999986,58.17499999999999,7.999999999999998,7.375
T11793,15.999999999999993,57.675000000000004,9,6.875000000000006
T11794,17.5,109.59999999999998,24.571067811865436,8.000000000000007
T11796,38,57.675000000000004,8,6.874999999999996
T11797,69,57.675000000000004,8,6.874999999999996
T11798,72.50000000000004,180.00000000000006,72.50000000000001,9.600000000000005
T11800,57.8,88.9,8.000000000000007,38.099999999999994
T11802,44.526999999999994,57.67499999999999,7.999999999999989,6.875000000000006
T11805,30.749999999999993,70.39999999999999,8,19.599999999999998
T11809,33.99999999999999,67.9,8.000000000000004,17.10000000000001
T11810,34,57.675,8,6.874999999999999
T11811,17.000000000000004,57.67500000000001,8,6.874999999999999
T11813,9,57.67500000000001,8.000000000000002,6.874999999999999
T11814,28.999999999999996,57.675000000000004,8,6.875000000000006
T11815,44,57.675,8,6.874999999999999
T11816,24.99999999999999,57.675000000000004,8.000000000000002,6.874999999999999
T11817,31.000000000000004,57.67499999999999,8.000000000000002,6.874999999999999
T11819,19,57.675000000000004,7.999999999999998,6.875000000000003
T11820,119,57.675,8.000000000000004,6.874999999999999
T11821,33.99999999999999,57.675,8.000000000000012,6.874999999999999
T11822,33.99999999999999,57.675,8.000000000000012,6.874999999999999
T11823,24.600000000000005,20.000000000000018,75.39999999999999,20.000000000000018
T11824,15.999999999999996,90.4,16,39.6
T11826,19.050000000000015,82.55,19.050000000000015,31.75
T11827,24.399999999999988,57.67499999999998,8,6.874999999999999
T11828,29.000000000000004,57.67500000000001,8,6.874999999999999
T11829,13.99999999999999,57.675,8.000000000000007,6.875000000000013
T11833,24.999999999999993,57.675000000000004,8.000000000000004,6.874999999999999
T11834,32.999999999999986,57.675000000000004,8.000000000000004,6.874999999999999
T11835,36.20000000000001,17.500000000000014,70.55,17.500000000000014
T11836,34.269999999999996,57.675,8,6.874999999999999
T11837,19.875,57.2,19.875000000000004,6.1499999999999995
T11839,19.999999999999996,57.67499999999999,8.000000000000002,6.87500000000001
T11842,21.699999999999996,16.000000000000014,123.3,16.000000000000014
T11843,35.99999999999998,58.3,8.000000000000007,7.499999999999972
T11844,12.999999999999991,58.29999999999999,8,7.499999999999965
T11845,12.999999999999998,58.3,8,7.5
T11848,34.99999999999999,58.29999999999999,7.9999999999999964,7.499999999999972
T11849,71.66180581404141,56.675000000000004,8.838194185958583,5.875000000000002
T11850,33,58.3,8.000000000000002,7.5
T11851,14.999999999999991,58.300000000000004,8.000000000000004,7.500000000000007
T11852,34.99999999999999,58.29999999999999,8,7.5
T11853,19.20000000000002,25.000000000000007,65.8,25.000000000000007
T11854,19.999999999999993,58.29999999999999,8.000000000000002,7.499999999999972
T11855,24.99999999999999,58.29999999999999,8,7.499999999999965
T11857,42,58.3,8,7.5
T11858,38.00000000000001,58.3,8,7.5
T11860,28.000000000000004,58.3,8,7.5
T11861,19.999999999999996,58.3,8,7.5
T11862,25,58.3,8,7.5
T11863,55,58.3,8,7.5
T11864,20,58.3,8,7.5
T11865,23.9962776597652,58.3,11.995762205024127,7.5
T11871,22.697175031204804,58.3,17.99117938213667,7.5
T11881,40.00000000000001,58.3,20,7.5
T11885,40.96220604582437,58.3,14.97060901482825,7.5
T11887,43.95897713968076,58.3,12.960628994189511,7.5
T11897,71.93454244111439,62.22999999999999,11.725457558885626,11.429999999999989
T11898,55.091190955309415,88.9,17.97360679774998,38.100000000000016
T11899,50,108.29999999999998,50,6.69999999999999
T11904,21.995145168922715,58.8,17.97845288715508,8
T11905,37,58.3,8.000000000000005,7.499999999999972
T11913,20.600000000000016,17.500000000000014,71.40000000000002,17.500000000000014
T11915,17.5,44.5,77.5,44.249999999999986
T11918,15,58.8,11.000000000000002,8
T11925,31.969615506024425,58.3,23.000000000000004,7.5
T11926,37.00000000000001,58.3,12.939329572936296,7.499999999999972
T11927,33.95850614413416,58.300000000000004,18.000000000000014,7.499999999999972
T11929,31.98631987744023,58.3,12.969906009443935,7.5
T11931,6.499999999999999,35,57.3,35
T11943,19.4430166852058,44.9,70.29999999999998,44.9
T11948,26.500000000000004,56.4,26.49999999999999,5.6000000000000005
T11949,49.999999999999986,62.90000000000001,10.000000000000002,12.100000000000007
T11952,30.000000000000014,24.996201938253055,90.8,24.996201938253055
T11955,17.98230088495575,57.3,22.922899450357757,6.499999999999999
T11958,30.478954291351528,57.3,30.499999999999996,6.499999999999999
T11966,6.9849999999999985,18.999200000000002,57.785,18.99920000000001
T11986,70.00000000000001,120.80000000000001,70.00000000000001,19.200000000000024
T11988,5.999999999999867,68.50349999999999,76.8535000000003,17.703500000000005
T11989,15.399999999999997,24.130000000000006,64.89999999999999,24.13
T12003,24.999999999999996,58.300000000000004,25.000000000000004,7.4999999999999964
T12004,27.492129849721934,58.8,27.460994484043326,8
T12005,17.991180918017363,56.79999999999999,14.986256161508825,6.000000000000002
T12006,15.49118091801735,58.8,15.48625616150879,8
T12007,18.991180918017346,58.79999999999996,18.986256161508784,7.999999999999976
